iter	Passed	Remaining
0	157	157077
1	279	139559
2	371	123484
3	452	112648
4	534	106311
5	615	101968
6	706	100197
7	789	97927
8	870	95867
9	950	94052
10	1031	92743
11	1126	92750
12	1212	92037
13	1301	91662
14	1390	91288
15	1472	90567
16	1557	90060
17	1643	89653
18	1723	88969
19	1808	88611
20	1892	88216
21	1972	87692
22	2054	87286
23	2137	86910
24	2217	86488
25	2303	86278
26	2389	86105
27	2468	85706
28	2552	85462
29	2639	85332
30	2720	85043
31	2808	84947
32	2890	84704
33	2971	84430
34	3059	84367
35	3165	84751
36	3257	84774
37	3348	84777
38	3430	84526
39	3510	84256
40	3591	84015
41	3679	83936
42	3759	83670
43	3843	83517
44	3925	83310
45	4004	83055
46	4085	82844
47	4169	82688
48	4250	82493
49	4331	82302
50	4416	82178
51	4496	81979
52	4578	81814
53	4666	81752
54	4745	81544
55	4828	81402
56	4910	81246
57	4993	81105
58	5077	80984
59	5160	80849
60	5239	80646
61	5325	80576
62	5407	80432
63	5484	80217
64	5564	80041
65	5647	79916
66	5730	79795
67	5816	79714
68	5900	79610
69	5979	79441
70	6062	79320
71	6152	79293
72	6232	79145
73	6314	79012
74	6396	78885
75	6474	78716
76	6553	78555
77	6641	78506
78	6723	78384
79	6805	78266
80	6885	78123
81	6964	77972
82	7048	77877
83	7132	77775
84	7214	77667
85	7305	77637
86	7390	77558
87	7470	77417
88	7555	77342
89	7652	77373
90	7744	77359
91	7835	77329
92	7928	77319
93	8010	77208
94	8107	77233
95	8194	77165
96	8275	77035
97	8358	76931
98	8437	76791
99	8517	76657
100	8604	76591
101	8700	76597
102	8799	76634
103	8900	76677
104	8991	76637
105	9080	76584
106	9167	76506
107	9252	76421
108	9361	76527
109	9453	76491
110	9545	76449
111	9626	76327
112	9708	76210
113	9791	76100
114	9872	75975
115	9955	75868
116	10038	75757
117	10127	75700
118	10224	75698
119	10323	75707
120	10421	75704
121	10505	75608
122	10587	75492
123	10669	75377
124	10753	75271
125	10834	75150
126	10913	75019
127	10993	74892
128	11076	74790
129	11157	74671
130	11239	74557
131	11319	74436
132	11402	74331
133	11498	74311
134	11595	74294
135	11685	74236
136	11777	74189
137	11864	74112
138	11948	74011
139	12031	73910
140	12124	73866
